block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,Start_text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,fixation.started,fixation.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,serialPort.started,serialPort.stopped,faces.stopped,trial_loop.response.keys,trial_loop.response.rt,trial_loop.response.duration,end_block.started,Endding.started,Endding.stopped,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.001820899999984249,0.01386839999941003,0.01386839999941003,2.180913899999723,space,2.1555202999998073,None,,,,,,,,,,,,,,,,,,,969322,002,2025-05-09_17h20.23.493,project,2024.2.4,None,2025-05-09 17h20.30.533445 +0700,
2,1,faces/unknown/unknown_205.jpg,unknown,0,0,0,None,,,0,0,0,0,2.188213899999937,,,,,,,,,2.186485100000027,3.1759556999995766,4.059871899999962,4.015308899999582,4.0479543999999805,4.059871899999962,4.059871899999962,0.03266429999985121,1.0302953000000343,6.015751099999761,None,,,,,,,,969322,002,2025-05-09_17h20.23.493,project,2024.2.4,None,2025-05-09 17h20.30.533445 +0700,
2,2,faces/unknown/unknown_34.jpg,unknown,1,1,0,None,,,0,1,1,1,6.024561700000049,,,,,,,,,6.015930699999444,7.009194399999615,7.995016699999724,7.95951789999981,7.992169699999977,7.995016699999724,7.995016699999724,0.032665699999597564,1.0213009999997666,9.960848400000032,None,,,,,,,,969322,002,2025-05-09_17h20.23.493,project,2024.2.4,None,2025-05-09 17h20.30.533445 +0700,
2,3,faces/unknown/unknown_97.jpg,unknown,2,2,0,None,,,0,2,2,2,9.966859399999521,,,,,,,,,9.961035699999229,10.948570999999902,11.776688599999943,11.740430999999262,11.774004099999729,11.776688599999943,11.776688599999943,0.03358279999974911,1.0261203999998543,13.748526599999423,None,,,,,,,,969322,002,2025-05-09_17h20.23.493,project,2024.2.4,None,2025-05-09 17h20.30.533445 +0700,
2,4,faces/unknown/unknown_181.jpg,unknown,3,3,0,None,,,0,3,3,3,13.758789199999228,,,,,,,,,13.748655299999882,14.73040729999957,15.576401899999837,15.539994699999625,15.573527999999897,15.576401899999837,15.576401899999837,0.03354490000037913,1.0219110000007277,17.54286030000003,None,,,,,,,,969322,002,2025-05-09_17h20.23.493,project,2024.2.4,None,2025-05-09 17h20.30.533445 +0700,
2,5,faces/unknown/unknown_208.jpg,unknown,4,4,0,None,,,0,4,4,4,17.54848999999922,,,,,,,,,17.54301679999935,18.53035060000002,19.33665269999983,19.300812599999517,19.333176399999502,19.33665269999983,19.33665269999983,0.03237540000009176,1.023779399999512,21.309150399999453,None,,,,,,,,969322,002,2025-05-09_17h20.23.493,project,2024.2.4,None,2025-05-09 17h20.30.533445 +0700,
2,6,faces/unknown/unknown_183.jpg,unknown,5,5,0,None,,,0,5,5,5,21.311887199999546,,,,,,,,,21.309326300000066,22.299758299999667,22.994954699999653,22.958435099999406,22.992129700000078,22.994954699999653,22.994954699999653,0.033701299999847834,1.0201447999997981,24.96133269999973,None,,,,,,,,969322,002,2025-05-09_17h20.23.493,project,2024.2.4,None,2025-05-09 17h20.30.533445 +0700,
2,7,faces/unknown/unknown_193.jpg,unknown,6,6,0,None,,,0,6,6,6,24.96647379999922,,,,,,,,,24.961449399999765,25.948080799999843,26.893012999999883,26.858389799999713,26.890038900000036,26.893012999999883,26.893012999999883,0.03167570000005071,1.0177246000002924,28.86353059999965,None,,,,,,,,969322,002,2025-05-09_17h20.23.493,project,2024.2.4,None,2025-05-09 17h20.30.533445 +0700,
2,8,faces/unknown/unknown_18.jpg,unknown,7,7,0,None,,,0,7,7,7,28.87271529999998,,,,,,,,,28.86370749999969,29.85095089999959,30.54803169999923,30.512451399999918,30.54484699999921,30.54803169999923,30.54803169999923,0.03242210000007617,1.0268465999997716,32.51266399999986,None,,,,,,,,969322,002,2025-05-09_17h20.23.493,project,2024.2.4,None,2025-05-09 17h20.30.533445 +0700,
2,9,faces/unknown/unknown_236.jpg,unknown,8,8,0,None,,,0,8,8,8,32.51794359999985,,,,,,,,,32.51285909999933,33.50859289999971,34.240085599999475,34.20293679999941,34.237128400000074,34.240085599999475,34.240085599999475,0.0342157999994015,1.021137799999451,36.20800489999965,None,,,,,,,,969322,002,2025-05-09_17h20.23.493,project,2024.2.4,None,2025-05-09 17h20.30.533445 +0700,
2,10,faces/unknown/unknown_276.jpg,unknown,9,9,0,None,,,0,9,9,9,36.21549849999974,,,,,,,,,36.20817349999925,37.196134699999675,37.97451009999986,37.94008439999925,37.9715385999998,37.97451009999986,37.97451009999986,0.03146270000070217,1.017511099999865,39.942293099999915,None,,,,,,,,969322,002,2025-05-09_17h20.23.493,project,2024.2.4,None,2025-05-09 17h20.30.533445 +0700,
2,11,faces/unknown/unknown_272.jpg,unknown,10,10,0,None,,,0,10,10,10,39.94808529999955,,,,,,,,,39.94251069999973,40.92982789999951,41.64813789999971,41.61494929999935,41.64520809999976,41.64813789999971,41.64813789999971,0.030272700000750774,1.0182407000002058,43.62348209999982,None,,,,,,,,969322,002,2025-05-09_17h20.23.493,project,2024.2.4,None,2025-05-09 17h20.30.533445 +0700,
2,12,faces/known/known_54.jpg,known,11,11,0,space,0.6349547999998322,0.13522180000018125,0,11,11,11,43.626665999999204,,,,,,,,,43.62363069999992,44.614045299999816,45.31116629999997,45.29368499999964,45.30836069999987,45.31116629999997,45.31116629999997,0.014689999999973224,1.0050658000000112,47.299575099999856,space,0.6349547999998322,0.13522180000018125,,,,,,969322,002,2025-05-09_17h20.23.493,project,2024.2.4,None,2025-05-09 17h20.30.533445 +0700,
2,13,faces/unknown/unknown_116.jpg,unknown,12,12,0,None,,,0,12,12,12,47.30868089999967,,,,,,,,,47.29974049999964,48.29054719999931,49.09927219999918,49.06371069999932,49.09613399999944,49.09927219999918,49.09927219999918,0.032437700000627956,1.0268771999999444,51.069737499999974,None,,,,,,,,969322,002,2025-05-09_17h20.23.493,project,2024.2.4,None,2025-05-09 17h20.30.533445 +0700,
2,14,faces/unknown/unknown_148.jpg,unknown,13,13,0,None,,,0,13,13,13,51.075248199999805,,,,,,,,,51.06987329999993,52.05714409999928,52.9619531999997,52.930128299999524,52.95882879999954,52.9619531999997,52.9619531999997,0.028710300000057032,1.01808549999987,54.930489399999715,None,,,,,,,,969322,002,2025-05-09_17h20.23.493,project,2024.2.4,None,2025-05-09 17h20.30.533445 +0700,
