block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,Start_text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,fixation.started,fixation.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,serialPort.started,serialPort.stopped,faces.stopped,trial_loop.response.keys,faces_image.stopped,response.stopped,trial_loop.response.rt,trial_loop.response.duration,end_block.started,Endding.started,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
5,13,faces/unknown/unknown_63.jpg,unknown,12,12,0,None,,,0,12,12,12,56.32371460000013,,,,,,,,,56.32079040000008,57.305734000000484,58.25299619999987,58.22114539999984,58.24987239999973,58.25299619999987,58.25299619999987,0.028738399999383546,1.0148589000000356,60.22679049999988,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,14,faces/unknown/unknown_3.jpg,unknown,13,13,0,None,,,0,13,13,13,60.23547359999975,,,,,,,,,60.22690150000017,61.20834600000035,61.864341200000126,61.83289640000021,61.86073170000054,61.864341200000126,61.864341200000126,0.02785089999997581,1.021227600000202,63.83876580000015,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,15,faces/unknown/unknown_159.jpg,unknown,14,14,0,None,,,0,14,14,14,63.84568910000053,,,,,,,,,63.83887610000056,64.82667180000044,65.62817240000004,65.59698300000036,65.62526549999984,65.62817240000004,65.62817240000004,0.028294899999309564,1.0174756999995225,67.60540450000008,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,16,faces/unknown/unknown_249.jpg,unknown,15,15,0,None,,,0,15,15,15,67.60825790000035,,,,,,,,,67.60551469999973,68.59038520000013,69.40984380000009,69.37963910000053,69.40670409999984,69.40984380000009,69.40984380000009,0.027091399999335408,1.0169971999994232,71.38688259999981,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,17,faces/unknown/unknown_192.jpg,unknown,16,16,0,None,,,0,16,16,16,71.39017349999995,,,,,,,,,71.38699090000046,72.37769870000011,73.33443230000012,73.30589930000042,73.33170609999979,73.33443230000012,73.33443230000012,0.025817799999458657,1.014311799999632,75.31192900000042,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,18,faces/unknown/unknown_264.jpg,unknown,17,17,0,None,,,0,17,17,17,75.32129859999986,,,,,,,,,75.31207549999999,76.29318779999994,76.99019360000057,76.95994359999986,76.98731959999986,76.99019360000057,76.99019360000057,0.027386400000068534,1.0179324999999153,78.96008530000017,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,19,faces/unknown/unknown_96.jpg,unknown,18,18,0,None,,,0,18,18,18,78.96555450000051,,,,,,,,,78.9602018000005,79.95641450000039,80.97088179999992,80.9389271,80.96787289999975,80.97088179999992,80.97088179999992,0.028952200000276207,1.0176032999997915,82.94162229999984,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,20,faces/known/known_33.jpg,known,19,19,0,space,0.6788087000004452,0.09595569999964937,0,19,19,19,82.94743860000017,,,,,,,,,82.94175340000038,83.92921879999994,84.91923440000028,84.89221020000059,84.91620179999973,84.91923440000028,84.91923440000028,0.023982900000191876,1.0132018000003882,86.89310860000023,space,,,0.6788087000004452,0.09595569999964937,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,21,faces/unknown/unknown_188.jpg,unknown,20,20,0,None,,,0,20,20,20,86.89886279999973,,,,,,,,,86.89323880000029,87.88074990000041,88.5984840000001,88.56553210000038,88.59575170000062,88.5984840000001,88.5984840000001,0.030266899999332963,1.0213794000001144,90.5715379000003,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,22,faces/known/known_7.jpg,known,21,21,0,space,0.8000649000005069,0.12065739999979996,0,21,21,21,90.57732529999976,,,,,,,,,90.57164970000031,91.55935560000034,92.55765900000006,92.52054599999974,92.55494199999976,92.55765900000006,92.55765900000006,0.0344055000005028,1.0208573999998407,94.52295969999977,space,,,0.8000649000005069,0.12065739999979996,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,23,faces/unknown/unknown_160.jpg,unknown,22,22,0,None,,,0,22,22,22,94.52877799999987,,,,,,,,,94.52308170000015,95.51062610000008,96.46925730000021,96.43827909999982,96.46618550000039,96.46925730000021,96.46925730000021,0.02791979999983596,1.0148294000000533,98.44395820000045,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,24,faces/known/known_29.jpg,known,23,23,0,space,1.193861100000504,0.12023739999949612,0,23,23,23,98.4525676000003,,,,,,,,,98.44415000000026,99.42598640000051,100.33930959999998,100.30505059999996,100.33636769999976,100.33930959999998,100.33930959999998,0.031326599999374594,1.0182781999992585,102.31096500000058,space,,,1.193861100000504,0.12023739999949612,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,25,faces/unknown/unknown_296.jpg,unknown,24,24,0,None,,,0,24,24,24,102.31969440000012,,,,,,,,,102.31108570000015,103.29245260000062,104.17037690000052,104.13869090000026,104.1677322000005,104.17037690000052,104.17037690000052,0.029055699999844364,1.0145203000001857,106.14136370000051,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,26,faces/unknown/unknown_10.jpg,unknown,25,25,0,None,,,0,25,25,25,106.14695290000054,,,,,,,,,106.14152999999988,107.12966920000054,107.85722830000032,107.82410330000039,107.85418730000038,107.85722830000032,107.85722830000032,0.030091100000390725,1.0206434000001536,109.8266908000005,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,27,faces/known/known_21.jpg,known,26,26,0,space,0.6736369999998715,0.1512086000002455,0,26,26,26,109.83217160000004,,,,,,,,,109.82684770000014,110.81407010000021,111.74046230000022,111.70595800000046,111.73778180000045,111.74046230000022,111.74046230000022,0.031814699999813456,1.0172751999998582,113.71094340000036,space,,,0.6736369999998715,0.1512086000002455,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,28,faces/known/known_25.jpg,known,27,27,0,space,0.6757284999994226,0.14405729999998584,0,27,27,27,113.72061420000045,,,,,,,,,113.7111332000004,114.69816749999973,115.68200380000053,115.6448762,115.67919559999973,115.68200380000053,115.68200380000053,0.03432009999960428,1.0265840000001845,117.65269239999998,space,,,0.6757284999994226,0.14405729999998584,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,29,faces/unknown/unknown_166.jpg,unknown,28,28,0,None,,,0,28,28,28,117.6557913000006,,,,,,,,,117.65280220000022,118.64251070000046,119.3922403000006,119.35907310000039,119.38940890000049,119.3922403000006,119.3922403000006,0.030346499999723164,1.0180550999994011,121.3650391000001,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,30,faces/unknown/unknown_13.jpg,unknown,29,29,0,None,,,0,29,29,29,121.37085930000012,,,,,,,,,121.36515969999982,122.35582880000038,123.00108490000002,122.96518340000057,122.99832839999999,123.00108490000002,123.00108490000002,0.03315600000041741,1.021386800000073,124.9707984000006,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,31,faces/unknown/unknown_125.jpg,unknown,30,30,0,None,,,0,30,30,30,124.97691900000063,,,,,,,,,124.9709143,125.95873920000031,126.67326349999985,126.63800979999996,126.67060300000048,126.67326349999985,126.67326349999985,0.0326017999996111,1.017812000000049,128.64363560000038,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,32,faces/unknown/unknown_251.jpg,unknown,31,31,0,None,,,0,31,31,31,128.6528073999998,,,,,,,,,128.64376379999976,129.62527390000014,130.5570514000001,130.52145689999998,130.5541989000003,130.5570514000001,130.5570514000001,0.032747399999607296,1.0193311000002723,132.52236880000055,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,33,faces/unknown/unknown_214.jpg,unknown,32,32,0,None,,,0,32,32,32,132.52804170000036,,,,,,,,,132.5224831000005,133.5188820000003,134.24058070000046,134.20733370000016,134.23781020000024,134.24058070000046,134.24058070000046,0.030487299999549577,1.0182236999999077,136.20760680000058,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,34,faces/unknown/unknown_44.jpg,unknown,33,33,0,None,,,0,33,33,33,136.2129700000005,,,,,,,,,136.20771729999979,137.20387500000015,137.9935820999999,137.9596201000004,137.99089569999978,137.9935820999999,137.9935820999999,0.03128220000053261,1.0174224000002141,139.96481610000046,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,35,faces/unknown/unknown_141.jpg,unknown,34,34,0,None,,,0,34,34,34,139.97341229999984,,,,,,,,,139.96493520000058,140.95482260000063,141.7014833000003,141.67074719999982,141.69906749999973,141.7014833000003,141.7014833000003,0.028330799999821465,1.0184292000003552,143.67372010000054,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,36,faces/unknown/unknown_15.jpg,unknown,35,35,0,None,,,0,35,35,35,143.67940129999988,,,,,,,,,143.6738280999998,144.6611827000006,145.32498300000043,145.28935400000046,145.3218912000002,145.32498300000043,145.32498300000043,0.03254670000023907,1.0204010999996171,147.29145659999995,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,37,faces/known/known_10.jpg,known,36,36,0,space,0.685660199999802,0.12682150000000547,0,36,36,36,147.29726730000039,,,,,,,,,147.29157440000017,148.27933040000062,149.0408462000005,149.00475330000063,149.03750579999996,149.0408462000005,149.0408462000005,0.03276139999979932,1.019911299999876,151.00678289999996,space,,,0.685660199999802,0.12682150000000547,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,38,faces/unknown/unknown_91.jpg,unknown,37,37,0,None,,,0,37,37,37,151.01262279999992,,,,,,,,,151.00710830000025,151.99429920000057,152.97973900000034,152.94609610000043,152.97699439999997,152.97973900000034,152.97973900000034,0.030909400000382448,1.0177792000004047,154.9548751000002,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,39,faces/unknown/unknown_39.jpg,unknown,38,38,0,None,,,0,38,38,38,154.95785849999993,,,,,,,,,154.95500309999989,155.93984139999975,156.58119910000005,156.5460492000002,156.57844889999978,156.58119910000005,156.58119910000005,0.032408099999884143,1.0178756000004796,158.5547378000001,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,40,faces/unknown/unknown_291.jpg,unknown,39,39,0,None,,,0,39,39,39,158.55759880000005,,,,,,,,,158.5549187000006,159.5397223,160.27199230000042,160.23966590000055,160.26938840000003,160.27199230000042,160.27199230000042,0.029736000000411877,1.015201100000013,162.2401791000002,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,41,faces/known/known_28.jpg,known,40,40,0,space,1.3263508000000002,0.16876760000013746,0,40,40,40,162.24288049999996,,,,,,,,,162.24030649999986,163.23041790000025,163.90312650000033,163.8709515999999,163.90054490000057,163.90312650000033,163.90312650000033,0.029603700000734534,1.0180451000005633,165.87307950000013,space,,,1.3263508000000002,0.16876760000013746,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,42,faces/unknown/unknown_284.jpg,unknown,41,41,0,None,,,0,41,41,41,165.87878600000022,,,,,,,,,165.8731957,166.86113130000012,167.7979175999999,167.7642864999998,167.79513550000047,167.7979175999999,167.7979175999999,0.03086059999986901,1.0222321999999622,169.77285680000023,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,43,faces/unknown/unknown_43.jpg,unknown,42,42,0,None,,,0,42,42,42,169.77588300000025,,,,,,,,,169.77297499999986,170.76449930000035,171.4773095999999,171.44885539999996,171.4746911000002,171.4773095999999,171.4773095999999,0.025848000000223692,1.0118725000002087,173.45505850000063,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,44,faces/unknown/unknown_241.jpg,unknown,43,43,0,None,,,0,43,43,43,173.46074529999987,,,,,,,,,173.45516399999997,174.44271540000045,175.2278550000001,175.19535950000045,175.22502450000047,175.2278550000001,175.2278550000001,0.02967460000036226,1.0172898000000714,177.20409910000035,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,45,faces/unknown/unknown_66.jpg,unknown,44,44,0,None,,,0,44,44,44,177.2118556000005,,,,,,,,,177.2042320999999,178.18778040000052,178.8174822000001,178.7825214000004,178.81457510000018,178.8174822000001,178.8174822000001,0.032065700000202924,1.0208153000003222,180.78769250000005,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,46,faces/unknown/unknown_28.jpg,unknown,45,45,0,None,,,0,45,45,45,180.7943181999999,,,,,,,,,180.78781979999985,181.7754685,182.6725548000004,182.64008110000032,182.6693279000001,182.6725548000004,182.6725548000004,0.029256200000418175,1.0207017000002452,184.6425178999998,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,47,faces/unknown/unknown_104.jpg,unknown,46,46,0,None,,,0,46,46,46,184.64810790000047,,,,,,,,,184.6426388,185.6304799999998,186.40383569999995,186.37296210000022,186.40116360000047,186.40383569999995,186.40383569999995,0.02821490000042104,1.0157810000000609,188.37318210000012,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,48,faces/unknown/unknown_222.jpg,unknown,47,47,0,None,,,0,47,47,47,188.3754714000006,,,,,,,,,188.3733245000003,189.3632244999999,190.01167480000004,189.97599230000014,190.00865580000027,190.01167480000004,190.01167480000004,0.03267190000042319,1.02733679999983,191.98152590000063,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,49,faces/unknown/unknown_165.jpg,unknown,48,48,0,None,,,0,48,48,48,191.9874251000001,,,,,,,,,191.98164989999987,192.9731726,193.81998250000015,193.79033210000034,193.81753190000018,193.81998250000015,193.81998250000015,0.02722020000055636,1.0123530000000756,195.7937447000004,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,50,faces/unknown/unknown_156.jpg,unknown,49,49,0,None,,,0,49,49,49,195.8026557000003,,,,,,,,,195.79387420000057,196.7811670000001,197.79598729999998,197.76340130000062,197.7930653000003,197.79598729999998,197.79598729999998,0.029683299999305746,1.0180735999992976,199.77186880000045,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,51,faces/unknown/unknown_140.jpg,unknown,50,50,0,None,,,0,50,50,50,199.77520660000027,,,,,,,,,199.77198260000023,200.75701910000043,201.46197389999998,201.42994670000007,201.45892730000014,201.46197389999998,201.46197389999998,0.028992099999413767,1.0180067000001145,203.4404629999999,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,52,faces/known/known_6.jpg,known,51,51,0,None,,,0,51,51,51,203.4479081999998,,,,,,,,,203.44063240000014,204.42350609999994,205.05771249999998,205.02257550000013,205.05493900000056,205.05771249999998,205.05771249999998,0.032367599999815866,1.0194163999994998,207.0238317000003,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,53,faces/known/known_55.jpg,known,52,52,0,space,0.622705899999346,0.14300330000060058,0,52,52,52,207.03011080000033,,,,,,,,,207.02396279999994,208.01151219999974,208.6476201000005,208.63025860000016,208.6442805000006,208.6476201000005,208.6476201000005,0.014033499999641208,1.0105055999993056,210.63868160000038,space,,,0.622705899999346,0.14300330000060058,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,54,faces/known/known_52.jpg,known,53,53,0,space,0.47000630000002275,0.12927709999985382,0,53,53,53,210.64134430000013,,,,,,,,,210.63880960000006,211.62344870000015,212.5919328,212.57574970000042,212.58923229999982,212.5919328,212.5919328,0.013495500000317406,0.9999961000003168,214.57586420000007,space,214.58111389999976,214.58111389999976,0.47000630000002275,0.12927709999985382,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,55,faces/unknown/unknown_257.jpg,unknown,54,54,0,None,,,0,54,54,54,214.58111389999976,,,,,,,,,214.5760220000002,215.5721708000001,216.47221450000052,216.43948230000024,216.46940619999987,216.47221450000052,216.47221450000052,0.02993979999973817,1.0175004000002446,218.43975899999987,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,56,faces/unknown/unknown_216.jpg,unknown,55,55,0,None,,,0,55,55,55,218.44714360000035,,,,,,,,,218.43991090000054,219.42970659999992,220.31273760000022,220.27823570000055,220.30989229999977,220.31273760000022,220.31273760000022,0.031664099999943573,1.0178745000002891,222.2874421000006,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,57,faces/unknown/unknown_162.jpg,unknown,56,56,0,None,,,0,56,56,56,222.28982780000024,,,,,,,,,222.28762540000025,223.27208820000033,224.03889419999996,224.00586730000032,224.03624620000028,224.03889419999996,224.03889419999996,0.03038620000006631,1.0175010000002658,226.01120549999996,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,58,faces/unknown/unknown_151.jpg,unknown,57,57,0,None,,,0,57,57,57,226.02038319999974,,,,,,,,,226.01135410000006,227.00382799999988,227.7596540000004,227.72522730000037,227.75703150000027,227.7596540000004,227.7596540000004,0.031813599999622966,1.019342300000062,229.72664540000005,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,59,faces/unknown/unknown_250.jpg,unknown,58,58,0,None,,,0,58,58,58,229.73253029999978,,,,,,,,,229.72676000000047,230.71392770000057,231.42885449999994,231.39318189999995,231.4259731000002,231.42885449999994,231.42885449999994,0.03280399999948713,1.0273526999999376,233.39362059999985,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,60,faces/unknown/unknown_243.jpg,unknown,59,59,0,None,,,0,59,59,59,233.39866059999986,,,,,,,,,233.39373969999997,234.39042210000025,235.37625590000061,235.34433780000018,235.37358060000042,235.37625590000061,235.37625590000061,0.029253800000333285,1.01864150000074,237.3537827,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.35388320000038,237.36199120000038,238.34494200000063,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{3, 4, 37, 41, 20, 53, 22, 54, 24, 27, 28}",,,,,,,,
