block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,Start_text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,fixation.started,fixation.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,serialPort.started,serialPort.stopped,faces.stopped,trial_loop.response.keys,trial_loop.response.rt,trial_loop.response.duration,faces_image.stopped,response.stopped,end_block.started,Endding.started,Endding.stopped,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0022945999990042765,0.0071059999991121,0.0071059999991121,1.0043095000000903,space,0.99123679999866,None,,,,,,,,,,,,,,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,1,faces/known/known_88.jpg,known,0,0,0,space,0.5840325999997731,0.15241419999983918,0,0,0,0,1.0110557000007248,,,,,,,,,1.0093097999997553,1.9947338000001764,2.7981675999999425,2.7774446999992506,2.7954312000001664,2.7981675999999425,2.7981675999999425,0.018005099998845253,1.0035760999999184,4.781109999999899,space,0.5840325999997731,0.15241419999983918,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,2,faces/unknown/unknown_188.jpg,unknown,1,1,0,None,,,0,1,1,1,4.785137099999702,,,,,,,,,4.781344400000307,5.764322200000606,6.425822699999117,6.38189229999989,6.42227339999954,6.425822699999117,6.425822699999117,0.04038399999990361,1.0286991000011767,8.385390600000392,None,,,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,3,faces/unknown/unknown_122.jpg,unknown,2,2,0,None,,,0,2,2,2,8.389425699999265,,,,,,,,,8.385602899999867,9.368640299999242,10.216715799999292,10.173886599999605,10.213399899999786,10.216715799999292,10.216715799999292,0.03951330000018061,1.0279525999994803,12.177044500000193,None,,,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,4,faces/unknown/unknown_155.jpg,unknown,3,3,0,None,,,0,3,3,3,12.18087480000031,,,,,,,,,12.177286599999206,13.16414629999963,13.810605700000451,13.769083299999693,13.806886399999712,13.810605700000451,13.810605700000451,0.03780870000082359,1.0245360999997501,15.77268179999919,None,,,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,5,faces/known/known_106.jpg,known,4,4,0,space,0.5029535999983636,0.16803770000115037,0,4,4,4,15.776784800000314,,,,,,,,,15.772818299999926,16.755826399999933,17.56769870000062,17.552408300000025,17.564308799999708,17.56769870000062,17.56769870000062,0.011916400000700378,0.9993769000011525,19.552500100000543,space,0.5029535999983636,0.16803770000115037,19.555814600000303,19.555814600000303,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,6,faces/unknown/unknown_16.jpg,unknown,5,5,0,None,,,0,5,5,5,19.555814600000303,,,,,,,,,19.55270709999968,20.539265800000067,21.299696800000675,21.261108000000604,21.29636699999901,21.299696800000675,21.299696800000675,0.03526810000039404,1.0241389999991952,23.26443459999973,None,,,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,7,faces/unknown/unknown_214.jpg,unknown,6,6,0,None,,,0,6,6,6,23.268482699999367,,,,,,,,,23.2646850000001,24.24768579999909,25.08393149999938,25.040266699999847,25.08198470000025,25.08393149999938,25.08393149999938,0.041723000000274624,1.0281382000011945,27.043731100000514,None,,,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,8,faces/unknown/unknown_14.jpg,unknown,7,7,0,None,,,0,7,7,7,27.047527999999147,,,,,,,,,27.043982799999867,28.03077200000007,29.01507110000057,28.97354489999998,29.011493699999846,29.01507110000057,29.01507110000057,0.0379573000009259,1.0242367000009835,30.976924999999028,None,,,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,9,faces/known/known_38.jpg,known,8,8,0,None,,,0,8,8,8,30.980718000000707,,,,,,,,,30.977079199999935,31.960338099999717,32.880398699999205,32.83166870000059,32.876785200000086,32.880398699999205,32.880398699999205,0.04512269999941054,1.0326193000000785,34.83549649999986,None,,,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,10,faces/unknown/unknown_76.jpg,unknown,9,9,0,None,,,0,9,9,9,34.839399599999524,,,,,,,,,34.835723000000144,35.818652800000564,36.83582910000041,36.7945923999996,36.83262819999982,36.83582910000041,36.83582910000041,0.03803879999941273,1.023848299999372,38.7978106999999,None,,,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,11,faces/unknown/unknown_111.jpg,unknown,10,10,0,None,,,0,10,10,10,38.8017220999991,,,,,,,,,38.79802869999912,39.780861400000504,40.70753429999968,40.66244360000019,40.704047100000025,40.70753429999968,40.70753429999968,0.04161300000123447,1.0311796000005415,42.6644469999992,None,,,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,12,faces/known/known_86.jpg,known,11,11,0,space,0.8989020999997592,0.16835589999936929,0,11,11,11,42.668449700000565,,,,,,,,,42.66464889999952,43.65161679999983,44.3954190000004,44.3771469000003,44.39184960000057,44.3954190000004,44.3954190000004,0.01472239999930025,1.0037826000007044,46.380891200000406,space,0.8989020999997592,0.16835589999936929,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,13,faces/known/known_141.jpg,known,12,12,0,None,,,0,12,12,12,46.38496699999996,,,,,,,,,46.381112299999586,47.36447000000044,48.122612900000604,48.069012199999634,48.118871700000454,48.122612900000604,48.122612900000604,0.04987070000061067,1.0369809999992867,50.072669099999985,None,,,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,14,faces/unknown/unknown_217.jpg,unknown,13,13,0,None,,,0,13,13,13,50.07686289999947,,,,,,,,,50.07292719999896,51.056064099999276,52.01932040000065,51.977681700000176,52.01583819999905,52.01932040000065,52.01932040000065,0.038142199999128934,1.0240976999994018,53.98096009999972,None,,,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,15,faces/known/known_139.jpg,known,14,14,0,space,1.0231542000001355,0.20752549999997427,0,14,14,14,53.98502940000071,,,,,,,,,53.98115519999919,54.96417289999954,55.639404399998966,55.59865030000037,55.63747329999933,55.639404399998966,55.639404399998966,0.03883250000035332,1.0238604999995005,57.6016383999995,space,1.0231542000001355,0.20752549999997427,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,16,faces/known/known_134.jpg,known,15,15,0,space,0.6094438000000082,0.19195440000112285,0,15,15,15,57.60567450000053,,,,,,,,,57.60175849999905,58.58529889999954,59.404667799999515,59.38198639999973,59.40119190000041,59.404667799999515,59.404667799999515,0.019209800000680843,1.0073804999992717,61.38526230000025,space,0.6094438000000082,0.19195440000112285,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,17,faces/unknown/unknown_93.jpg,unknown,16,16,0,None,,,0,16,16,16,61.38914339999974,,,,,,,,,61.38545549999981,62.368699200000265,63.13242109999919,63.09040289999939,63.128819499999736,63.13242109999919,63.13242109999919,0.03842099999928905,1.0280098999992333,65.09359009999935,None,,,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,18,faces/known/known_55.jpg,known,17,17,0,space,0.5628341999999975,0.20755869999993593,0,17,17,17,65.09765030000017,,,,,,,,,65.09380579999925,66.07679839999946,66.75588249999964,66.73648829999911,66.75250159999996,66.75588249999964,66.75588249999964,0.016016199999285163,1.0029522000004363,68.73959560000003,space,0.5628341999999975,0.20755869999993593,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,19,faces/known/known_37.jpg,known,18,18,0,space,0.7563874000006763,0.16857300000083342,0,18,18,18,68.74352709999948,,,,,,,,,68.73985189999985,69.72696580000047,70.55369670000073,70.51122380000015,70.55023660000006,70.55369670000073,70.55369670000073,0.03902569999991101,1.0281460999995033,72.51419680000072,space,0.7563874000006763,0.16857300000083342,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,20,faces/known/known_24.jpg,known,19,19,0,space,1.01159700000062,0.18337980000069365,0,19,19,19,72.5182676000004,,,,,,,,,72.51433539999925,73.4975742000006,74.16318619999947,74.11947449999934,74.15963999999985,74.16318619999947,74.16318619999947,0.04018290000021807,1.0279802000004565,76.12273330000062,space,1.01159700000062,0.18337980000069365,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,21,faces/unknown/unknown_290.jpg,unknown,20,20,0,None,,,0,20,20,20,76.12695530000019,,,,,,,,,76.12293660000068,77.10618450000038,78.07354990000022,78.0321313000004,78.0698453999994,78.07354990000022,78.07354990000022,0.03772630000094068,1.0281386000006023,80.03542179999931,None,,,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
5,22,faces/known/known_122.jpg,known,21,21,0,space,0.5473079000003054,0.17533879999973578,0,21,21,21,80.03923759999998,,,,,,,,,80.03571509999892,81.02259509999931,81.8594637999995,81.84009340000011,81.8561066000002,81.8594637999995,81.8594637999995,0.016019900000173948,1.0036564000001817,83.84345609999946,space,0.5473079000003054,0.17533879999973578,,,,,,,,103,005,2025-05-17_15h50.12.302,project,2024.2.4,None,2025-05-17 15h50.24.416763 +0700,
