block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,Start_text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,fixation.started,fixation.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,serialPort.started,serialPort.stopped,faces.stopped,trial_loop.response.keys,trial_loop.response.rt,trial_loop.response.duration,faces_image.stopped,response.stopped,end_block.started,Endding.started,Endding.stopped,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0030191000005288515,0.01190620000124909,0.01190620000124909,11.518281200000274,space,11.50276329999906,None,,,,,,,,,,,,,,,,,,,,,103,003,2025-05-17_15h40.17.296,project,2024.2.4,228.02937018519071,2025-05-17 15h40.29.296328 +0700,
3,1,faces/unknown/unknown_286.jpg,unknown,0,0,0,None,,,0,0,0,0,11.52497399999993,,,,,,,,,11.523398600000291,12.507367300000624,13.30262380000022,13.259308300001067,13.299722900001143,13.30262380000022,13.30262380000022,0.0404287999990629,1.0273655000000872,15.261721500000931,None,,,,,,,,,,103,003,2025-05-17_15h40.17.296,project,2024.2.4,228.02937018519071,2025-05-17 15h40.29.296328 +0700,
3,2,faces/known/known_11.jpg,known,1,1,0,None,,,0,1,1,1,15.265921199999866,,,,,,,,,15.261925300001167,16.249090700001034,16.891737400001148,16.84590019999996,16.88820880000094,16.891737400001148,16.891737400001148,0.042313300000387244,1.028380499999912,18.849558800000523,None,,,,,,,,,,103,003,2025-05-17_15h40.17.296,project,2024.2.4,228.02937018519071,2025-05-17 15h40.29.296328 +0700,
3,3,faces/known/known_92.jpg,known,2,2,0,space,0.5778425000007701,0.12843399999837857,0,2,2,2,18.85325019999982,,,,,,,,,18.849799700001313,19.832732800001395,20.777206200000364,20.75458290000097,20.773497600001065,20.777206200000364,20.777206200000364,0.018919600001026993,1.0072276999999303,22.75733450000007,space,0.5778425000007701,0.12843399999837857,,,,,,,,103,003,2025-05-17_15h40.17.296,project,2024.2.4,228.02937018519071,2025-05-17 15h40.29.296328 +0700,
3,4,faces/known/known_120.jpg,known,3,3,0,space,0.45649330000014743,0.12018549999993411,0,3,3,3,22.761366600001566,,,,,,,,,22.757455400000254,23.74529260000054,24.45010530000036,24.42906700000094,24.4465207000012,24.45010530000036,24.45010530000036,0.017469300000811927,1.0079625000016676,26.433119100000113,space,0.45649330000014743,0.12018549999993411,,,,,,,,103,003,2025-05-17_15h40.17.296,project,2024.2.4,228.02937018519071,2025-05-17 15h40.29.296328 +0700,
3,5,faces/unknown/unknown_90.jpg,unknown,4,4,0,None,,,0,4,4,4,26.436368000000584,,,,,,,,,26.43325080000068,27.416236400000344,28.123927700000422,28.0872245999999,28.120489900000393,28.123927700000422,28.123927700000422,0.03328220000003057,1.0203791000003548,30.091025300000183,None,,,,,,,,,,103,003,2025-05-17_15h40.17.296,project,2024.2.4,228.02937018519071,2025-05-17 15h40.29.296328 +0700,
3,6,faces/unknown/unknown_34.jpg,unknown,5,5,0,None,,,0,5,5,5,30.094944500000565,,,,,,,,,30.091241600001013,31.07422420000148,31.802796200001467,31.754393000001073,31.79918710000129,31.802796200001467,31.802796200001467,0.04479739999987942,1.0322047999998176,33.75739160000012,None,,,,,,,,,,103,003,2025-05-17_15h40.17.296,project,2024.2.4,228.02937018519071,2025-05-17 15h40.29.296328 +0700,
3,7,faces/unknown/unknown_9.jpg,unknown,6,6,0,None,,,0,6,6,6,33.761798100000306,,,,,,,,,33.75751140000102,34.74515100000099,35.503933699999834,35.46251900000061,35.50208730000122,35.503933699999834,35.503933699999834,0.039576600000145845,1.024192299999413,37.4666543000003,None,,,,,,,,,,103,003,2025-05-17_15h40.17.296,project,2024.2.4,228.02937018519071,2025-05-17 15h40.29.296328 +0700,
3,8,faces/unknown/unknown_211.jpg,unknown,7,7,0,None,,,0,7,7,7,37.46992390000014,,,,,,,,,37.466768300000695,38.451368699999875,39.18601900000067,39.141579600000114,39.18199940000159,39.18601900000067,39.18601900000067,0.040423499998723855,1.028315499999735,41.145029900000736,None,,,,,,,,,,103,003,2025-05-17_15h40.17.296,project,2024.2.4,228.02937018519071,2025-05-17 15h40.29.296328 +0700,
3,9,faces/known/known_58.jpg,known,8,8,0,space,0.6331616000006761,0.1443937999993068,0,8,8,8,41.14923750000162,,,,,,,,,41.1452332000008,42.128525200001604,42.7373404000009,42.72036060000028,42.733751499999926,42.7373404000009,42.7373404000009,0.013408300001174212,0.9996222999998281,44.72046910000063,space,0.6331616000006761,0.1443937999993068,44.7241367000006,44.7241367000006,,,,,,103,003,2025-05-17_15h40.17.296,project,2024.2.4,228.02937018519071,2025-05-17 15h40.29.296328 +0700,
3,10,faces/unknown/unknown_185.jpg,unknown,9,9,0,None,,,0,9,9,9,44.7241367000006,,,,,,,,,44.720661700001074,45.70780900000136,46.646749000001364,46.604307400000835,46.643177700001615,46.646749000001364,46.646749000001364,0.03888849999930244,1.0281584999993356,48.60758540000097,None,,,,,,,,,,103,003,2025-05-17_15h40.17.296,project,2024.2.4,228.02937018519071,2025-05-17 15h40.29.296328 +0700,
3,11,faces/known/known_10.jpg,known,10,10,0,None,,,0,10,10,10,48.61163190000116,,,,,,,,,48.60782290000134,49.5949399000001,50.528996000000916,50.48347400000057,50.525425100000575,50.528996000000916,50.528996000000916,0.041966999999203836,1.028179099999761,52.48649960000148,None,,,,,,,,,,103,003,2025-05-17_15h40.17.296,project,2024.2.4,228.02937018519071,2025-05-17 15h40.29.296328 +0700,
