block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,Start_text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,fixation.started,fixation.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,serialPort.started,serialPort.stopped,faces_image.stopped,response.stopped,faces.stopped,trial_loop.response.keys,end_block.started,Endding.started,Endding.stopped,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
1,41,ball/red.png,unknown,40,40,0,None,0,40,40,40,177.2945924000005,,,,,,,,,177.2919326000001,178.2894524000003,178.9128608000001,178.90442960000019,178.907913,178.9128608000001,178.9128608000001,0.003494700000373996,0.9961174999998548,180.90681320000022,180.90681320000022,180.9014240000006,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,42,ball/red.png,unknown,41,41,0,None,0,41,41,41,180.90681320000022,,,,,,,,,180.90153230000033,181.89451439999993,182.5583512000003,182.54999839999982,182.55303920000006,182.5583512000003,182.5583512000003,0.0030462999993687845,0.993188999999802,184.54883979999977,184.54883979999977,184.54348740000023,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,43,ball/red.png,unknown,42,42,0,None,0,42,42,42,184.54883979999977,,,,,,,,,184.54359769999974,185.5431096000002,186.4638746999999,186.4563259000006,186.45999800000027,186.4638746999999,186.4638746999999,0.0036890999999741325,0.9899341999998796,188.45555539999987,188.45555539999987,188.44675470000038,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,44,ball/blue.png,known,43,43,0,None,0,43,43,43,188.45555539999987,,,,,,,,,188.4469194000003,189.4458913999997,190.39702519999992,190.38923239999986,190.3927432999999,190.39702519999992,190.39702519999992,0.0035224000002926914,0.9905912000003809,192.38845349999974,192.38845349999974,192.37990530000025,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,45,ball/red.png,unknown,44,44,0,None,0,44,44,44,192.38845349999974,,,,,,,,,192.38001729999996,193.3793168000002,194.33096339999975,194.3251220000002,194.3281635000003,194.33096339999975,194.33096339999975,0.0030513000001519686,0.9967366000000766,196.32234830000016,196.32234830000016,196.31402239999989,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,46,ball/red.png,unknown,45,45,0,None,0,45,45,45,196.32234830000016,,,,,,,,,196.31416160000026,197.32126900000003,197.96711950000008,197.96137439999984,197.96440979999988,197.96711950000008,197.96711950000008,0.0030414000002565444,0.9971801000001506,199.96112259999973,199.96112259999973,199.9586933999999,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,47,ball/red.png,unknown,46,46,0,None,0,46,46,46,199.96112259999973,,,,,,,,,199.95879630000036,200.9552291,201.9398355000003,201.93088390000048,201.93370070000037,201.9398355000003,201.9398355000003,0.002824999999575084,0.9935866999994687,203.9309444999999,203.9309444999999,203.92507860000023,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,48,ball/blue.png,known,47,47,0,None,0,47,47,47,203.9309444999999,,,,,,,,,203.92517850000058,204.92513800000052,205.72998989999996,205.7218370999999,205.72495040000013,205.72998989999996,205.72998989999996,0.0031257999999070307,0.9905423000000155,207.72123740000006,207.72123740000006,207.7130348999999,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,49,ball/red.png,unknown,48,48,0,None,0,48,48,48,207.72123740000006,,,,,,,,,207.7131575000003,208.71231350000016,209.6159749999997,209.6099309000001,209.6130450999999,209.6159749999997,209.6159749999997,0.0031221999997796956,0.9961096999995789,211.60930319999989,211.60930319999989,211.60634699999991,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,50,ball/red.png,unknown,49,49,0,None,0,49,49,49,211.60930319999989,,,,,,,,,211.60645230000046,212.60650570000053,213.4150107000005,213.40625760000057,213.40929899999992,213.4150107000005,213.4150107000005,0.0030515999997078325,1.0001953000000867,215.40988449999986,215.40988449999986,215.40640230000008,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.40647590000026,215.40988449999986,216.51256590000048,216.39777539999977,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,set(),,,,,,,,
