block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,Start_text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,fixation.started,fixation.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,serialPort.started,serialPort.stopped,faces.stopped,trial_loop.response.keys,faces_image.stopped,response.stopped,trial_loop.response.rt,trial_loop.response.duration,end_block.started,Endding.started,Endding.stopped,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
2,10,faces/unknown/unknown_276.jpg,unknown,9,9,0,None,,,0,9,9,9,35.41901909999979,,,,,,,,,35.41409889999977,36.40439619999961,37.15316789999997,37.12310179999986,37.15004839999983,37.15316789999997,37.15316789999997,0.026957299999594397,1.0173955000000205,39.128371299999344,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,11,faces/unknown/unknown_272.jpg,unknown,10,10,0,None,,,0,10,10,10,39.13435219999974,,,,,,,,,39.12849219999953,40.11907919999976,40.97881749999942,40.94971170000008,40.97619359999953,40.97881749999942,40.97881749999942,0.02650140000059764,1.0180859000001874,42.952493899999354,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,12,faces/known/known_54.jpg,known,11,11,0,space,0.7098779999996623,0.17628220000005967,0,11,11,11,42.95824719999928,,,,,,,,,42.952640900000006,43.93993689999934,44.648942999999235,44.63472809999985,44.64578139999958,44.648942999999235,44.648942999999235,0.011065799999414594,0.9994419999993625,46.63497339999958,space,46.637197600000036,46.637197600000036,0.7098779999996623,0.17628220000005967,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,13,faces/unknown/unknown_116.jpg,unknown,12,12,0,None,,,0,12,12,12,46.637197600000036,,,,,,,,,46.635087399999975,47.6251515999993,48.50365669999974,48.47094769999967,48.500110199999654,48.50365669999974,48.50365669999974,0.029173099999752594,1.0213631999995414,50.47142959999928,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,14,faces/unknown/unknown_148.jpg,unknown,13,13,0,None,,,0,13,13,13,50.473860799999784,,,,,,,,,50.47156459999951,51.46139769999991,52.178648399999474,52.152229199999965,52.17583789999935,52.178648399999474,52.178648399999474,0.02361910000036005,1.0121726000006674,54.15815389999989,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,15,faces/unknown/unknown_231.jpg,unknown,14,14,0,None,,,0,14,14,14,54.16782389999935,,,,,,,,,54.158268599999246,55.1398137999995,55.76928659999976,55.73840419999942,55.76681000000008,55.76928659999976,55.76928659999976,0.028417200000149023,1.0167957000003298,57.740170499999294,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,16,faces/unknown/unknown_36.jpg,unknown,15,15,0,None,,,0,15,15,15,57.746008600000096,,,,,,,,,57.740285399999266,58.72762280000006,59.578626699999404,59.546199099999285,59.575637999999344,59.578626699999404,59.578626699999404,0.029450800000631716,1.0214100000002873,61.546265299999504,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,17,faces/known/known_9.jpg,known,16,16,0,space,0.5861459999996441,0.20069360000070446,0,16,16,16,61.55541539999922,,,,,,,,,61.54637999999977,62.539925299999595,63.23619409999992,63.204350999999406,63.233841199999915,63.23619409999992,63.23619409999992,0.029502500000489817,1.017367400000694,65.20652489999975,space,,,0.5861459999996441,0.20069360000070446,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,18,faces/known/known_23.jpg,known,17,17,0,space,0.6234426999999414,0.1432898999992176,0,17,17,17,65.21250520000012,,,,,,,,,65.20674809999946,66.19420730000002,67.10413449999942,67.07369139999992,67.10166039999967,67.10413449999942,67.10413449999942,0.027999199999612756,1.017473699999755,69.0791535999997,space,,,0.6234426999999414,0.1432898999992176,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,19,faces/unknown/unknown_279.jpg,unknown,18,18,0,None,,,0,18,18,18,69.08484659999976,,,,,,,,,69.07926879999923,70.06957429999966,70.96636510000008,70.93702489999941,70.96400679999988,70.96636510000008,70.96636510000008,0.026991499999894586,1.0177614000003814,72.93992049999997,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
