block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,Start_text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,fixation.started,fixation.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,serialPort.started,serialPort.stopped,faces.stopped,trial_loop.response.keys,trial_loop.response.rt,trial_loop.response.duration,faces_image.stopped,response.stopped,end_block.started,Endding.started,Endding.stopped,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0015822000004845904,0.013807600000291131,0.013807600000291131,6.857963800000107,space,6.836981600000399,None,,,,,,,,,,,,,,,,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,1,faces/unknown/unknown_107.jpg,unknown,0,0,0,None,,,0,0,0,0,6.864480700000058,,,,,,,,,6.862817500000347,7.848853500000587,8.862847299999885,8.822595399999955,8.852822500000002,8.862847299999885,8.862847299999885,0.030243199999858916,1.0264501999999993,10.825362399999904,None,,,,,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,2,faces/known/known_14.jpg,known,1,1,0,space,0.6534037999999782,0.11265270000058081,0,1,1,1,10.831059099999948,,,,,,,,,10.825473100000636,11.812613600000077,12.524937500000306,12.488636099999894,12.5225702000007,12.524937500000306,12.524937500000306,0.03395120000004681,1.0213481000000684,14.488713499999903,space,0.6534037999999782,0.11265270000058081,,,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,3,faces/known/known_51.jpg,known,2,2,0,space,0.5963456999998016,0.1357373999999254,0,2,2,2,14.491622700000335,,,,,,,,,14.488863600000514,15.47907860000032,16.110098900000594,16.088787700000466,16.107403900000463,16.110098900000594,16.110098900000594,0.01863560000037978,1.008668999999827,18.091695699999946,space,0.5963456999998016,0.1357373999999254,,,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,4,faces/known/known_58.jpg,known,3,3,0,space,0.5422803000001295,0.1689418999994814,0,3,3,3,18.097451500000716,,,,,,,,,18.09182620000047,19.07897150000008,19.9236262000004,19.908419600000343,19.921027700000195,19.9236262000004,19.9236262000004,0.012616600000001199,0.9984756000003472,21.908811600000263,space,0.5422803000001295,0.1689418999994814,21.915267800000038,21.915267800000038,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,5,faces/unknown/unknown_111.jpg,unknown,4,4,0,None,,,0,4,4,4,21.915267800000038,,,,,,,,,21.908962200000133,22.897225800000342,23.821447199999966,23.791988900000433,23.818631000000096,23.821447199999966,23.821447199999966,0.026657600000362436,1.0119368000005124,25.794456900000114,None,,,,,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,6,faces/known/known_27.jpg,known,5,5,0,space,0.715102900000602,0.12033279999923252,0,5,5,5,25.804425600000286,,,,,,,,,25.79461100000026,26.78210990000025,27.711229800000183,27.680295400000432,27.708774600000652,27.711229800000183,27.711229800000183,0.02848089999952208,1.01679409999997,29.68856290000076,space,0.715102900000602,0.12033279999923252,,,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,7,faces/unknown/unknown_1.jpg,unknown,6,6,0,None,,,0,6,6,6,29.69116910000048,,,,,,,,,29.688702899999953,30.673074700000143,31.639271900000494,31.607215100000758,31.6365521000007,31.639271900000494,31.639271900000494,0.029346499999519438,1.0144856999995682,33.61224730000049,None,,,,,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,8,faces/unknown/unknown_263.jpg,unknown,7,7,0,None,,,0,7,7,7,33.62106820000008,,,,,,,,,33.61235930000021,34.60380840000016,35.56889279999996,35.537864900000386,35.56599220000044,35.56889279999996,35.56889279999996,0.028130000000601285,1.0171792000001005,37.53986590000022,None,,,,,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,9,faces/unknown/unknown_283.jpg,unknown,8,8,0,None,,,0,8,8,8,37.54547249999996,,,,,,,,,37.540012400000705,38.5273614000007,39.187605000000076,39.156084700000065,39.185026900000594,39.187605000000076,39.187605000000076,0.0289346999998088,1.0168039999998655,41.15807750000022,None,,,,,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,10,faces/unknown/unknown_299.jpg,unknown,9,9,0,None,,,0,9,9,9,41.16350430000057,,,,,,,,,41.15824950000024,42.145147300000644,42.79389040000024,42.76431219999995,42.791336799999954,42.79389040000024,42.79389040000024,0.027018499999940104,1.017322100000456,44.772401100000025,None,,,,,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,11,faces/unknown/unknown_164.jpg,unknown,10,10,0,None,,,0,10,10,10,44.77570090000063,,,,,,,,,44.77250989999993,45.763472399999955,46.43309210000007,46.40576930000043,46.43060770000011,46.43309210000007,46.43309210000007,0.02484950000052777,1.0156655000000683,48.411910499999976,None,,,,,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,12,faces/known/known_17.jpg,known,11,11,0,space,0.6563512000002447,0.1279605999998239,0,11,11,11,48.42101320000074,,,,,,,,,48.41203459999997,49.39966170000025,50.13821240000016,50.124142600000596,50.13575160000073,50.13821240000016,50.13821240000016,0.011617899999691872,0.9997566000001825,52.124490799999876,space,0.6563512000002447,0.1279605999998239,52.12660610000057,52.12660610000057,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,13,faces/unknown/unknown_256.jpg,unknown,12,12,0,None,,,0,12,12,12,52.12660610000057,,,,,,,,,52.12462030000006,53.11436959999992,54.10215870000047,54.072409600000356,54.09982800000034,54.10215870000047,54.10215870000047,0.027430699999968056,1.0152860999996847,56.078425500000776,None,,,,,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,14,faces/unknown/unknown_99.jpg,unknown,13,13,0,None,,,0,13,13,13,56.08769470000061,,,,,,,,,56.07854530000077,57.059915300000284,57.70381070000076,57.67249390000052,57.70141599999988,57.70381070000076,57.70381070000076,0.028945399999429355,1.0148255999993125,59.678267700000106,None,,,,,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,15,faces/unknown/unknown_201.jpg,unknown,14,14,0,None,,,0,14,14,14,59.68782090000059,,,,,,,,,59.67840419999993,60.660086100000626,61.31825950000075,61.28834910000023,61.31561310000052,61.31825950000075,61.31825950000075,0.027271200000541285,1.0165674999998373,63.29033250000066,None,,,,,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,16,faces/unknown/unknown_212.jpg,unknown,15,15,0,None,,,0,15,15,15,63.296200200000385,,,,,,,,,63.29046280000057,64.27787179999996,65.27327560000049,65.2423787000007,65.27095710000049,65.27327560000049,65.27327560000049,0.02858829999968293,1.0142500000001746,67.24816960000044,None,,,,,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,17,faces/unknown/unknown_178.jpg,unknown,16,16,0,None,,,0,16,16,16,67.25711180000053,,,,,,,,,67.2482770000006,68.23799870000039,68.98597450000034,68.95477269999992,68.98332530000062,68.98597450000034,68.98597450000034,0.02856179999980668,1.0182703000000402,70.95685130000038,None,,,,,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,18,faces/unknown/unknown_290.jpg,unknown,17,17,0,None,,,0,17,17,17,70.9627801000006,,,,,,,,,70.95697440000004,71.94462050000038,72.78774200000043,72.75690699999996,72.78467760000058,72.78774200000043,72.78774200000043,0.027778700000453682,1.015397699999994,74.75717330000043,None,,,,,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,19,faces/known/known_47.jpg,known,18,18,0,space,0.6518779999996696,0.16174299999966024,0,18,18,18,74.76290730000073,,,,,,,,,74.75729020000017,75.7548297000003,76.69416580000052,76.67225159999998,76.69199759999992,76.69416580000052,76.69416580000052,0.019754599999942002,1.0060640000001513,78.67808210000021,space,0.6518779999996696,0.16174299999966024,,,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,20,faces/unknown/unknown_293.jpg,unknown,19,19,0,None,,,0,19,19,19,78.68661190000057,,,,,,,,,78.67819380000037,79.65966449999996,80.33579700000064,80.30560050000076,80.33323370000016,80.33579700000064,80.33579700000064,0.027639900000394846,1.0149727999996685,82.30861630000072,None,,,,,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
4,21,faces/unknown/unknown_211.jpg,unknown,20,20,0,None,,,0,20,20,20,82.31403070000033,,,,,,,,,82.30873740000061,83.2962963,84.30265400000008,84.26714750000065,84.30014130000018,84.30265400000008,84.30265400000008,0.03300240000044141,1.022711900000104,86.27206620000015,None,,,,,,,,,,101,004,2025-05-09_17h34.04.252,project,2024.2.4,None,2025-05-09 17h34.18.819512 +0700,
