block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,Start_text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,fixation.started,fixation.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,serialPort.started,serialPort.stopped,faces.stopped,trial_loop.response.keys,trial_loop.response.rt,trial_loop.response.duration,faces_image.stopped,response.stopped,end_block.started,Endding.started,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0017295999996349565,0.011946699999498378,0.011946699999498378,3.3725931999997556,space,3.349029199999677,None,,,,,,,,,,,,,,,,,,,,101,0031,2025-05-09_17h29.35.472,project,2024.2.4,None,2025-05-09 17h29.53.405476 +0700,
3,1,faces/unknown/unknown_50.jpg,unknown,0,0,0,None,,,0,0,0,0,3.378447799999776,,,,,,,,,3.376864399999249,4.369594400000096,5.040318699999261,5.000977499999863,5.030269099999714,5.040318699999261,5.040318699999261,0.029304599999704806,1.0263228000003437,7.003393099999812,None,,,,,,,,,101,0031,2025-05-09_17h29.35.472,project,2024.2.4,None,2025-05-09 17h29.53.405476 +0700,
3,2,faces/unknown/unknown_232.jpg,unknown,1,1,0,None,,,0,1,1,1,7.008865099999639,,,,,,,,,7.003509999999551,7.99134580000009,8.791957399999774,8.760801099999298,8.78868969999985,8.791957399999774,8.791957399999774,0.027899900000193156,1.0178185000004305,10.769320399999742,None,,,,,,,,,101,0031,2025-05-09_17h29.35.472,project,2024.2.4,None,2025-05-09 17h29.53.405476 +0700,
3,3,faces/unknown/unknown_245.jpg,unknown,2,2,0,None,,,0,2,2,2,10.77238219999981,,,,,,,,,10.769448099999863,11.754171199999291,12.658053999999538,12.627217899999778,12.655529399999978,12.658053999999538,12.658053999999538,0.028321499999947264,1.0181511999999202,14.636147199999868,None,,,,,,,,,101,0031,2025-05-09_17h29.35.472,project,2024.2.4,None,2025-05-09 17h29.53.405476 +0700,
3,4,faces/unknown/unknown_246.jpg,unknown,3,3,0,None,,,0,3,3,3,14.638880499999686,,,,,,,,,14.636465300000054,15.62104029999955,16.269275099999504,16.239571299999625,16.266769299999396,16.269275099999504,16.269275099999504,0.02722139999968931,1.0146918999998888,18.24522209999941,None,,,,,,,,,101,0031,2025-05-09_17h29.35.472,project,2024.2.4,None,2025-05-09 17h29.53.405476 +0700,
3,5,faces/unknown/unknown_198.jpg,unknown,4,4,0,None,,,0,4,4,4,18.253590499999518,,,,,,,,,18.245336699999825,19.235584799999742,20.05849859999944,20.027251099999376,20.05600869999944,20.05849859999944,20.05849859999944,0.028769599999577622,1.0180916999997862,22.03558339999927,None,,,,,,,,,101,0031,2025-05-09_17h29.35.472,project,2024.2.4,None,2025-05-09 17h29.53.405476 +0700,
3,6,faces/unknown/unknown_144.jpg,unknown,5,5,0,None,,,0,5,5,5,22.038847399999213,,,,,,,,,22.03573950000009,23.021104800000103,23.752902499999436,23.721555199999784,23.7503343999997,23.752902499999436,23.752902499999436,0.0287930000004053,1.0177183000005243,25.72365439999976,None,,,,,,,,,101,0031,2025-05-09_17h29.35.472,project,2024.2.4,None,2025-05-09 17h29.53.405476 +0700,
3,7,faces/unknown/unknown_282.jpg,unknown,6,6,0,None,,,0,6,6,6,25.72944920000009,,,,,,,,,25.72377030000007,26.711436999999933,27.34923769999932,27.317675100000088,27.34674079999968,27.34923769999932,27.34923769999932,0.029078999999910593,1.0210510000006252,29.320955099999992,None,,,,,,,,,101,0031,2025-05-09_17h29.35.472,project,2024.2.4,None,2025-05-09 17h29.53.405476 +0700,
3,8,faces/known/known_2.jpg,known,7,7,0,space,0.7326785000004747,0.13675899999998364,0,7,7,7,29.323798099999294,,,,,,,,,29.321068599999307,30.305476199999248,30.92407120000007,30.893572899999526,30.921672799999214,30.92407120000007,30.92407120000007,0.02810609999960434,1.0178841999995711,32.902521299999535,space,0.7326785000004747,0.13675899999998364,,,,,,,101,0031,2025-05-09_17h29.35.472,project,2024.2.4,None,2025-05-09 17h29.53.405476 +0700,
3,9,faces/unknown/unknown_126.jpg,unknown,8,8,0,None,,,0,8,8,8,32.905234899999414,,,,,,,,,32.90268489999926,33.88679830000001,34.60378859999946,34.57249039999988,34.60096179999982,34.60378859999946,34.60378859999946,0.028482700000495242,1.014742300000762,36.57847020000008,None,,,,,,,,,101,0031,2025-05-09_17h29.35.472,project,2024.2.4,None,2025-05-09 17h29.53.405476 +0700,
