block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,Start_text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,fixation.started,fixation.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,serialPort.started,serialPort.stopped,faces.stopped,trial_loop.response.keys,trial_loop.response.rt,trial_loop.response.duration,end_block.started,Endding.started,Endding.stopped,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
3,10,faces/unknown/unknown_185.jpg,unknown,9,9,0,None,,,0,9,9,9,36.64096299999983,,,,,,,,,36.63716899999963,37.62424809999993,38.44855860000007,38.39131840000027,38.44548730000042,38.44855860000007,38.44855860000007,0.054175600000235136,1.0412750000004962,40.39521659999991,None,,,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,11,faces/known/known_10.jpg,known,10,10,0,space,0.9233305999996446,0.20818880000024365,0,10,10,10,40.399259699999675,,,,,,,,,40.39546229999996,41.37827500000003,42.18688099999963,42.129404199999954,42.1835772000004,42.18688099999963,42.18688099999963,0.054179499999918335,1.0471747999999934,44.132677100000365,space,0.9233305999996446,0.20818880000024365,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,12,faces/unknown/unknown_243.jpg,unknown,11,11,0,None,,,0,11,11,11,44.13682809999955,,,,,,,,,44.1329625999997,45.12040419999994,46.07620270000007,46.02494990000014,46.07232180000028,46.07620270000007,46.07620270000007,0.047324899999694026,1.036633400000028,48.0296115000001,None,,,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,13,faces/unknown/unknown_257.jpg,unknown,12,12,0,None,,,0,12,12,12,48.032842900000105,,,,,,,,,48.02973329999986,49.01165690000016,49.892471000000114,49.83991849999984,49.88600409999981,49.892471000000114,49.892471000000114,0.04609530000016093,1.0365779000003386,51.84098759999961,None,,,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,14,faces/known/known_136.jpg,known,13,13,0,space,1.1547085999991396,0.1841790000007677,0,13,13,13,51.8448828999999,,,,,,,,,51.841219199999614,52.82860030000029,53.483385100000305,53.450026999999864,53.48009490000004,53.483385100000305,53.483385100000305,0.030083700000432145,1.0159473000003345,55.45345759999964,space,1.1547085999991396,0.1841790000007677,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,15,faces/known/known_15.jpg,known,14,14,0,space,0.7045975000000908,0.2081662000000506,0,14,14,14,55.45739349999985,,,,,,,,,55.453664599999684,56.43683630000032,57.1974739999996,57.1420162000004,57.19321459999992,57.1974739999996,57.1974739999996,0.05119919999924605,1.0387510999998995,59.14516470000035,space,0.7045975000000908,0.2081662000000506,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,16,faces/known/known_80.jpg,known,15,15,0,space,0.665219800000159,0.19249390000004496,0,15,15,15,59.149084499999844,,,,,,,,,59.14542939999956,60.1324125000001,61.01309820000006,60.97944960000041,61.009590800000296,61.01309820000006,61.01309820000006,0.030146899999635934,1.0160341999999218,62.982525800000076,space,0.665219800000159,0.19249390000004496,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,17,faces/known/known_51.jpg,known,16,16,0,space,0.5575948000005155,0.2003374999994776,0,16,16,16,62.98660459999974,,,,,,,,,62.9826579999999,63.96585109999978,64.80058019999979,64.77389729999959,64.79377449999993,64.80058019999979,64.80058019999979,0.019889800000782998,1.0143659000004845,66.77448420000019,space,0.5575948000005155,0.2003374999994776,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,18,faces/known/known_103.jpg,known,17,17,0,space,0.8929059000001871,0.19958169999972597,0,17,17,17,66.7784744999999,,,,,,,,,66.77473709999958,67.76179789999969,68.8184997999997,68.74582809999993,68.8154869,68.8184997999997,68.8184997999997,0.06966670000019803,1.057633600000372,70.74918969999999,space,0.8929059000001871,0.19958169999972597,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,19,faces/known/known_104.jpg,known,18,18,0,space,0.5522393000001102,0.18390009999984613,0,18,18,18,70.75329599999986,,,,,,,,,70.74939030000041,71.73299440000028,72.46240109999962,72.41011299999991,72.45569830000022,72.46240109999962,72.46240109999962,0.045590000000629516,1.0385179000004428,74.4152425000002,space,0.5522393000001102,0.18390009999984613,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,20,faces/unknown/unknown_276.jpg,unknown,19,19,0,None,,,0,19,19,19,74.42287250000027,,,,,,,,,74.41536670000005,75.40176859999974,76.1624738999999,76.11866790000022,76.1574397000004,76.1624738999999,76.1624738999999,0.03878679999979795,1.0264491999996608,78.12039490000006,None,,,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,21,faces/known/known_144.jpg,known,20,20,0,space,1.0269724999998289,0.20824330000050395,0,20,20,20,78.12391250000019,,,,,,,,,78.12053240000023,79.10790590000033,79.99548190000041,79.94607300000007,79.99220270000023,79.99548190000041,79.99548190000041,0.04613489999974263,1.0324044999997568,81.9494593999998,space,1.0269724999998289,0.20824330000050395,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,22,faces/known/known_14.jpg,known,21,21,0,space,1.1950310999991416,0.18521550000059506,0,21,21,21,81.95354640000005,,,,,,,,,81.94967900000029,82.93679520000023,83.65163870000015,83.59648000000016,83.64487949999966,83.65163870000015,83.65163870000015,0.04841519999990851,1.0384482999998,85.59912950000034,space,1.1950310999991416,0.18521550000059506,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,23,faces/known/known_18.jpg,known,22,22,0,space,0.9261412000005294,0.19227679999949032,0,22,22,22,85.60337410000011,,,,,,,,,85.59926710000036,86.58682229999977,87.41606919999958,87.35836899999958,87.4138667999996,87.41606919999958,87.41606919999958,0.055512500000077125,1.0409856000005675,89.36188459999994,space,0.9261412000005294,0.19227679999949032,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,24,faces/unknown/unknown_58.jpg,unknown,23,23,0,None,,,0,23,23,23,89.36596490000011,,,,,,,,,89.36213260000022,90.34503190000032,91.03441649999968,90.98755679999977,91.03120539999964,91.03441649999968,91.03441649999968,0.04361179999978049,1.0324359999995067,92.99070690000008,None,,,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
