block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,Start_text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,fixation.started,fixation.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,serialPort.started,serialPort.stopped,faces.stopped,trial_loop.response.keys,trial_loop.response.rt,trial_loop.response.duration,end_block.started,Endding.started,Endding.stopped,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.003207499999916763,0.009220099998856313,0.009220099998856313,3.394324899998537,space,3.3741614999999,None,,,,,,,,,,,,,,,,,,,102,005,2025-05-17_14h53.54.414,project,2024.2.4,None,2025-05-17 14h55.05.160037 +0700,
5,1,faces/known/known_88.jpg,known,0,0,0,space,0.8728523999998288,0.2965406000002986,0,0,0,0,3.4032944999999017,,,,,,,,,3.400719699999172,4.384290899999542,5.190295299998979,5.158301499999652,5.1829268999990745,5.190295299998979,5.190295299998979,0.024645500001497567,1.0180744000008417,7.159786599999279,space,0.8728523999998288,0.2965406000002986,,,,,,102,005,2025-05-17_14h53.54.414,project,2024.2.4,None,2025-05-17 14h55.05.160037 +0700,
5,2,faces/unknown/unknown_188.jpg,unknown,1,1,0,None,,,0,1,1,1,7.163859299998876,,,,,,,,,7.160008799999559,8.147282199999609,9.164672999999311,9.110535399999208,9.16145879999931,9.164672999999311,9.164672999999311,0.05093259999921429,1.0367466999996395,11.110898999999336,None,,,,,,,,102,005,2025-05-17_14h53.54.414,project,2024.2.4,None,2025-05-17 14h55.05.160037 +0700,
5,3,faces/unknown/unknown_122.jpg,unknown,2,2,0,None,,,0,2,2,2,11.113752499999464,,,,,,,,,11.111034499999732,12.097425899999507,12.82671659999869,12.77453129999958,12.819918600000165,12.82671659999869,12.82671659999869,0.04540319999978237,1.0346427000004041,14.776476299999558,None,,,,,,,,102,005,2025-05-17_14h53.54.414,project,2024.2.4,None,2025-05-17 14h55.05.160037 +0700,
5,4,faces/unknown/unknown_155.jpg,unknown,3,3,0,None,,,0,3,3,3,14.780701799998496,,,,,,,,,14.7767219999987,15.763986299998578,16.74862359999861,16.69837169999846,16.743917599998895,16.74862359999861,16.74862359999861,0.045569899999463814,1.0363664999986213,18.70137059999979,None,,,,,,,,102,005,2025-05-17_14h53.54.414,project,2024.2.4,None,2025-05-17 14h55.05.160037 +0700,
5,5,faces/known/known_106.jpg,known,4,4,0,space,0.827190399999381,0.2214947000011307,0,4,4,4,18.70537460000014,,,,,,,,,18.701552999998967,19.68496259999847,20.69498179999937,20.665624999999636,20.68580429999929,20.69498179999937,20.69498179999937,0.020206299999699695,1.0159603000010975,22.67000939999889,space,0.827190399999381,0.2214947000011307,,,,,,102,005,2025-05-17_14h53.54.414,project,2024.2.4,None,2025-05-17 14h55.05.160037 +0700,
5,6,faces/unknown/unknown_16.jpg,unknown,5,5,0,None,,,0,5,5,5,22.672930699998687,,,,,,,,,22.670170399998824,23.65353729999879,24.516721199999665,24.46422480000001,24.510861799999475,24.516721199999665,24.516721199999665,0.04665230000136944,1.0371736000015517,26.468667399998594,None,,,,,,,,102,005,2025-05-17_14h53.54.414,project,2024.2.4,None,2025-05-17 14h55.05.160037 +0700,
5,7,faces/unknown/unknown_214.jpg,unknown,6,6,0,None,,,0,6,6,6,26.472120899999936,,,,,,,,,26.468922299998667,27.451347399999577,28.189422299999933,28.13630099999864,28.187479799998982,28.189422299999933,28.189422299999933,0.051182799999878625,1.0359903999997186,30.13911939999889,None,,,,,,,,102,005,2025-05-17_14h53.54.414,project,2024.2.4,None,2025-05-17 14h55.05.160037 +0700,
5,8,faces/unknown/unknown_14.jpg,unknown,7,7,0,None,,,0,7,7,7,30.14307219999864,,,,,,,,,30.139462399998592,31.12621070000023,32.02859929999977,31.965346099999806,32.02047179999863,32.02859929999977,32.02859929999977,0.05514319999929285,1.0483770999999251,33.968141899998955,None,,,,,,,,102,005,2025-05-17_14h53.54.414,project,2024.2.4,None,2025-05-17 14h55.05.160037 +0700,
5,9,faces/known/known_38.jpg,known,8,8,0,space,0.8542694000007032,0.19219909999992524,0,8,8,8,33.97220689999995,,,,,,,,,33.96834339999987,34.95546359999935,35.7848869999998,35.71497850000014,35.781360199998744,35.7848869999998,35.7848869999998,0.06638670000029379,1.0533630999998422,37.71797509999851,space,0.8542694000007032,0.19219909999992524,,,,,,102,005,2025-05-17_14h53.54.414,project,2024.2.4,None,2025-05-17 14h55.05.160037 +0700,
