block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,Start_text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,fixation.started,fixation.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,serialPort.started,serialPort.stopped,faces.stopped,trial_loop.response.keys,trial_loop.response.rt,trial_loop.response.duration,end_block.started,Endding.started,Endding.stopped,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.002539000000069791,0.010491299999557668,0.010491299999557668,2.3485006999999314,space,2.3295812000005753,None,,,,,,,,,,,,,,,,,,,102,002,2025-05-17_14h36.07.808,project,2024.2.4,None,2025-05-17 14h36.20.935128 +0700,
2,1,faces/known/known_131.jpg,known,0,0,0,space,0.684431499999846,0.19180109999979322,0,0,0,0,2.3560255000002144,,,,,,,,,2.353912699999455,3.3398435999997673,4.320376699999542,4.287012599999798,4.313920599999619,4.320376699999542,4.320376699999542,0.02694210000026942,1.0187761000006503,6.288762199999837,space,0.684431499999846,0.19180109999979322,,,,,,102,002,2025-05-17_14h36.07.808,project,2024.2.4,None,2025-05-17 14h36.20.935128 +0700,
2,2,faces/unknown/unknown_282.jpg,unknown,1,1,0,None,,,0,1,1,1,6.292723300000034,,,,,,,,,6.288903699999537,7.276590599999508,8.03659929999958,7.977515999999923,8.032743400000072,8.03659929999958,8.03659929999958,0.055239199999959965,1.0445464000003994,9.980531700000029,None,,,,,,,,102,002,2025-05-17_14h36.07.808,project,2024.2.4,None,2025-05-17 14h36.20.935128 +0700,
2,3,faces/known/known_70.jpg,known,2,2,0,space,0.574316700000054,0.20836699999927077,0,2,2,2,9.98461959999986,,,,,,,,,9.98074540000016,10.963831000000027,11.85400159999972,11.823824299999615,11.84717819999969,11.85400159999972,11.85400159999972,0.023371700000097917,1.0130857000003743,13.826215199999751,space,0.574316700000054,0.20836699999927077,,,,,,102,002,2025-05-17_14h36.07.808,project,2024.2.4,None,2025-05-17 14h36.20.935128 +0700,
2,4,faces/unknown/unknown_94.jpg,unknown,3,3,0,None,,,0,3,3,3,13.830250199999682,,,,,,,,,13.826441700000032,14.813857999999527,15.59949719999986,15.539921200000208,15.59622169999966,15.59949719999986,15.59949719999986,0.05631069999981264,1.0447559999993246,17.543038400000114,None,,,,,,,,102,002,2025-05-17_14h36.07.808,project,2024.2.4,None,2025-05-17 14h36.20.935128 +0700,
2,5,faces/unknown/unknown_287.jpg,unknown,4,4,0,None,,,0,4,4,4,17.547061600000234,,,,,,,,,17.543247800000245,18.526609700000336,19.22300019999966,19.180958400000236,19.21948069999962,19.22300019999966,19.22300019999966,0.03853669999989506,1.0255625999998301,21.184598599999845,None,,,,,,,,102,002,2025-05-17_14h36.07.808,project,2024.2.4,None,2025-05-17 14h36.20.935128 +0700,
2,6,faces/unknown/unknown_70.jpg,unknown,5,5,0,None,,,0,5,5,5,21.18852390000029,,,,,,,,,21.184811799999807,22.168386700000156,23.09386960000029,23.043795300000056,23.08702549999998,23.09386960000029,23.09386960000029,0.04324559999986377,1.0326230999999098,25.047275199999604,None,,,,,,,,102,002,2025-05-17_14h36.07.808,project,2024.2.4,None,2025-05-17 14h36.20.935128 +0700,
2,7,faces/known/known_111.jpg,known,6,6,0,space,0.6153954000001249,0.21553399999993417,0,6,6,6,25.051202399999966,,,,,,,,,25.047878899999887,26.03034149999985,26.733067199999823,26.702072000000044,26.731003599999895,26.733067199999823,26.733067199999823,0.028938599999492,1.01582419999977,28.7056163999996,space,0.6153954000001249,0.21553399999993417,,,,,,102,002,2025-05-17_14h36.07.808,project,2024.2.4,None,2025-05-17 14h36.20.935128 +0700,
2,8,faces/known/known_49.jpg,known,7,7,0,space,0.5503181000003678,0.20745499999975436,0,7,7,7,28.709508599999936,,,,,,,,,28.70587389999946,29.688806199999817,30.6940568,30.660611700000118,30.690623700000287,30.6940568,30.6940568,0.030021700000361307,1.018346500000007,32.66388099999949,space,0.5503181000003678,0.20745499999975436,,,,,,102,002,2025-05-17_14h36.07.808,project,2024.2.4,None,2025-05-17 14h36.20.935128 +0700,
2,9,faces/unknown/unknown_35.jpg,unknown,8,8,0,None,,,0,8,8,8,32.66802310000003,,,,,,,,,32.664110799999435,33.64729019999959,34.632145699999455,34.58524070000021,34.62903209999968,34.632145699999455,34.632145699999455,0.04379419999986567,1.032708100000491,36.588695200000075,None,,,,,,,,102,002,2025-05-17_14h36.07.808,project,2024.2.4,None,2025-05-17 14h36.20.935128 +0700,
2,10,faces/unknown/unknown_181.jpg,unknown,9,9,0,None,,,0,9,9,9,36.5927630999995,,,,,,,,,36.58885099999952,37.57229279999956,38.3842668999996,38.33367799999996,38.37778199999957,38.3842668999996,38.3842668999996,0.044115400000009686,1.0354882000001453,40.334984500000246,None,,,,,,,,102,002,2025-05-17_14h36.07.808,project,2024.2.4,None,2025-05-17 14h36.20.935128 +0700,
2,11,faces/unknown/unknown_48.jpg,unknown,10,10,0,None,,,0,10,10,10,40.33848330000001,,,,,,,,,40.33509839999988,41.322406899999805,42.02111369999966,41.97284159999981,42.018154599999434,42.02111369999966,42.02111369999966,0.04531589999987773,1.0327086999996027,43.97644080000009,None,,,,,,,,102,002,2025-05-17_14h36.07.808,project,2024.2.4,None,2025-05-17 14h36.20.935128 +0700,
2,12,faces/unknown/unknown_216.jpg,unknown,11,11,0,None,,,0,11,11,11,43.98042389999955,,,,,,,,,43.97674689999985,44.959713600000214,45.96347059999971,45.91553550000026,45.95726819999982,45.96347059999971,45.96347059999971,0.04176270000061777,1.0326693000006344,47.91788739999993,None,,,,,,,,102,002,2025-05-17_14h36.07.808,project,2024.2.4,None,2025-05-17 14h36.20.935128 +0700,
2,13,faces/unknown/unknown_210.jpg,unknown,12,12,0,None,,,0,12,12,12,47.9220607999996,,,,,,,,,47.91815690000021,48.90527459999976,49.61792839999998,49.568124100000205,49.61487209999996,49.61792839999998,49.61792839999998,0.046766200000092795,1.0332273000003624,51.572208699999464,None,,,,,,,,102,002,2025-05-17_14h36.07.808,project,2024.2.4,None,2025-05-17 14h36.20.935128 +0700,
2,14,faces/known/known_72.jpg,known,13,13,0,space,0.6572885000005044,0.24102729999958683,0,13,13,13,51.5761808999996,,,,,,,,,51.57242859999951,52.55559749999975,53.18681529999958,53.158771100000195,53.180034899999555,53.18681529999958,53.18681529999958,0.021277699999700417,1.0130891999997402,55.1597184000002,space,0.6572885000005044,0.24102729999958683,,,,,,102,002,2025-05-17_14h36.07.808,project,2024.2.4,None,2025-05-17 14h36.20.935128 +0700,
2,15,faces/unknown/unknown_156.jpg,unknown,14,14,0,None,,,0,14,14,14,55.16359659999944,,,,,,,,,55.159929999999804,56.14705570000024,57.04610709999997,56.98963720000029,57.0441780000001,57.04610709999997,57.04610709999997,0.054556500000217056,1.0406541000002107,58.993020899999465,None,,,,,,,,102,002,2025-05-17_14h36.07.808,project,2024.2.4,None,2025-05-17 14h36.20.935128 +0700,
2,16,faces/unknown/unknown_140.jpg,unknown,15,15,0,None,,,0,15,15,15,58.99695989999964,,,,,,,,,58.99326740000015,59.98034430000007,60.68074890000025,60.62705189999997,60.67702129999998,60.68074890000025,60.68074890000025,0.0499774999998408,1.03803599999992,62.630242299999736,None,,,,,,,,102,002,2025-05-17_14h36.07.808,project,2024.2.4,None,2025-05-17 14h36.20.935128 +0700,
