block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,Start_text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,fixation.started,fixation.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,serialPort.started,serialPort.stopped,faces.stopped,trial_loop.response.keys,trial_loop.response.rt,trial_loop.response.duration,end_block.started,Endding.started,Endding.stopped,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.002784399999654852,0.010914700000284938,0.010914700000284938,2.05117539999992,space,2.0367944999998144,None,,,,,,,,,,,,,,,,,,,102,004,2025-05-17_14h48.10.592,project,2024.2.4,221.30258702864148,2025-05-17 14h48.18.993136 +0700,
4,1,faces/known/known_12.jpg,known,0,0,0,space,0.9681017000002612,0.23993760000030306,0,0,0,0,2.05837369999972,,,,,,,,,2.0562520000003133,3.043518899999981,3.7117802000002484,3.6587853999999425,3.7047051999998075,3.7117802000002484,3.7117802000002484,0.04591729999992822,1.0385881000001973,5.659981699999662,space,0.9681017000002612,0.23993760000030306,,,,,,102,004,2025-05-17_14h48.10.592,project,2024.2.4,221.30258702864148,2025-05-17 14h48.18.993136 +0700,
4,2,faces/known/known_114.jpg,known,1,1,0,space,0.782978400000502,0.2082308999997622,0,1,1,1,5.664012600000206,,,,,,,,,5.660220800000388,6.647314599999845,7.512647200000174,7.477091100000507,7.508777799999734,7.512647200000174,7.512647200000174,0.031713200000012876,1.0202244000001883,9.480842900000425,space,0.782978400000502,0.2082308999997622,,,,,,102,004,2025-05-17_14h48.10.592,project,2024.2.4,221.30258702864148,2025-05-17 14h48.18.993136 +0700,
4,3,faces/known/known_94.jpg,known,2,2,0,space,0.8531379999994897,0.1996263999999428,0,2,2,2,9.48487920000025,,,,,,,,,9.481088100000306,10.46401750000041,11.114906300000257,11.075991300000169,11.105479500000001,11.114906300000257,11.114906300000257,0.029506200000469107,1.0254869000000326,13.076430500000242,space,0.8531379999994897,0.1996263999999428,,,,,,102,004,2025-05-17_14h48.10.592,project,2024.2.4,221.30258702864148,2025-05-17 14h48.18.993136 +0700,
4,4,faces/known/known_34.jpg,known,3,3,0,space,0.8741765000004307,0.21647740000025806,0,3,3,3,13.082831599999736,,,,,,,,,13.07662960000016,14.061566600000333,14.757733899999948,14.702004900000247,14.751419000000169,14.757733899999948,14.757733899999948,0.049419099999795435,1.041406199999983,16.705870300000242,space,0.8741765000004307,0.21647740000025806,,,,,,102,004,2025-05-17_14h48.10.592,project,2024.2.4,221.30258702864148,2025-05-17 14h48.18.993136 +0700,
4,5,faces/known/known_99.jpg,known,4,4,0,space,0.8006277999993472,0.20034600000053615,0,4,4,4,16.709865300000274,,,,,,,,,16.706109800000377,17.68875350000053,18.34278660000018,18.315076300000328,18.339587100000244,18.34278660000018,18.34278660000018,0.024521000000277127,1.0112271999996665,20.318150199999764,space,0.8006277999993472,0.20034600000053615,,,,,,102,004,2025-05-17_14h48.10.592,project,2024.2.4,221.30258702864148,2025-05-17 14h48.18.993136 +0700,
4,6,faces/known/known_108.jpg,known,5,5,0,space,0.8557176999993317,0.19978600000013103,0,5,5,5,20.32229920000009,,,,,,,,,20.318382700000257,21.301642299999912,22.056498699999793,22.0311271999999,22.053112700000383,22.056498699999793,22.056498699999793,0.02200189999985014,1.0103873999996722,24.034838800000216,space,0.8557176999993317,0.19978600000013103,,,,,,102,004,2025-05-17_14h48.10.592,project,2024.2.4,221.30258702864148,2025-05-17 14h48.18.993136 +0700,
4,7,faces/known/known_32.jpg,known,6,6,0,space,0.7175661000001128,0.19351889999961713,0,6,6,6,24.0389866000005,,,,,,,,,24.035190800000237,25.018323600000258,25.83372059999965,25.760721200000262,25.83169859999998,25.83372059999965,25.83372059999965,0.0709580000002461,1.0573592000000644,27.764091900000494,space,0.7175661000001128,0.19351889999961713,,,,,,102,004,2025-05-17_14h48.10.592,project,2024.2.4,221.30258702864148,2025-05-17 14h48.18.993136 +0700,
4,8,faces/unknown/unknown_67.jpg,unknown,7,7,0,None,,,0,7,7,7,27.768159500000365,,,,,,,,,27.764345999999932,28.747306999999637,29.409599999999955,29.356818199999907,29.405872299999828,29.409599999999955,29.409599999999955,0.049064300000281946,1.036294600000474,31.36002329999974,None,,,,,,,,102,004,2025-05-17_14h48.10.592,project,2024.2.4,221.30258702864148,2025-05-17 14h48.18.993136 +0700,
4,9,faces/unknown/unknown_99.jpg,unknown,8,8,0,None,,,0,8,8,8,31.363903200000095,,,,,,,,,31.36023759999989,32.347476500000084,33.03315780000048,32.985619199999746,33.02980529999968,33.03315780000048,33.03315780000048,0.04418820000046253,1.032708100000491,34.98933730000044,None,,,,,,,,102,004,2025-05-17_14h48.10.592,project,2024.2.4,221.30258702864148,2025-05-17 14h48.18.993136 +0700,
4,10,faces/unknown/unknown_236.jpg,unknown,9,9,0,None,,,0,9,9,9,34.99321760000021,,,,,,,,,34.98952499999996,35.972601999999824,36.68738630000007,36.62745950000044,36.68044530000043,36.68738630000007,36.68738630000007,0.052988700000241806,1.0489307999996527,38.63070010000047,None,,,,,,,,102,004,2025-05-17_14h48.10.592,project,2024.2.4,221.30258702864148,2025-05-17 14h48.18.993136 +0700,
4,11,faces/known/known_53.jpg,known,10,10,0,space,0.8087055000005421,0.18317619999925228,0,10,10,10,38.634840100000474,,,,,,,,,38.63093089999984,39.613973100000294,40.38317160000042,40.35227159999977,40.37988580000001,40.38317160000042,40.38317160000042,0.02762079999956768,1.0159309999999095,42.35570040000039,space,0.8087055000005421,0.18317619999925228,,,,,,102,004,2025-05-17_14h48.10.592,project,2024.2.4,221.30258702864148,2025-05-17 14h48.18.993136 +0700,
